Code département,département,numéro commune,commune,Inscrits,Votants,Exprimés,LAGUILLER (LO),GARAUD (DVD),CREPEAU (MRG),BOUCHARDEAU (PSU),LALONDE (ECO),MITTERRAND (PS),GISCARD D'ESTAING (UDF),MARCHAIS (PCF),DEBRE (DVD),CHIRAC (RPR)
1,AIN,4,AMBERIEU-EN-BUGEY,5892,4493,4436,85,63,105,62,183,1211,1253,772,65,637
1,AIN,33,BELLEGARDE-SUR-VALSERINE,5782,4508,4460,116,71,110,56,190,1151,1168,780,79,739
1,AIN,53,BOURG-EN-BRESSE,22822,17592,17342,280,190,484,365,721,5193,4871,1884,328,3026
1,AIN,283,OYONNAX,11509,8849,8678,172,152,161,108,379,1654,2359,1610,168,1915
2,AISNE,168,CHATEAU-THIERRY,8860,6978,6871,182,84,171,72,274,1728,1778,1342,140,1100
2,AISNE,173,CHAUNY,8753,7186,7073,143,78,112,57,213,1742,1831,1598,117,1182
2,AISNE,381,HIRSON,7994,6531,6338,179,61,102,37,177,1527,1643,1588,101,923
2,AISNE,408,LAON,16703,13597,13383,359,143,281,159,521,3939,3477,1968,273,2263
2,AISNE,691,SAINT-QUENTIN,41040,33923,33384,837,337,563,231,1228,8121,8421,7246,574,5826
2,AISNE,722,SOISSONS,17885,14395,14200,307,188,235,114,513,3970,3894,2533,298,2148
2,AISNE,738,TERGNIER,8503,6957,6843,181,51,125,41,224,1843,1587,1914,97,780
3,ALLIER,82,COMMENTRY,6516,5370,5254,144,53,89,32,166,1428,1225,1485,59,573
3,ALLIER,95,CUSSET,9657,8005,7846,183,78,157,35,303,2188,2129,1503,89,1181
3,ALLIER,185,MONTLUCON,34668,29262,28750,583,317,545,191,904,6747,6474,7872,339,4778
3,ALLIER,190,MOULINS,15626,13047,12877,194,135,254,93,428,3151,3485,2176,166,2795
3,ALLIER,310,VICHY,21320,16880,16611,282,234,356,80,624,3789,5910,1607,224,3505
3,ALLIER,321,YZEURE,9020,7652,7540,119,67,140,51,253,2255,1807,1517,85,1246
4,ALPES-DE-HAUTE-PROVENCE,70,DIGNE-LES-BAINS,9815,7848,7709,168,123,176,90,420,1928,2141,1129,128,1406
4,ALPES-DE-HAUTE-PROVENCE,112,MANOSQUE,11783,9772,9636,202,150,201,93,375,2480,2973,1488,120,1554
5,HAUTES-ALPES,23,BRIANCON,5931,4642,4566,121,61,110,70,288,1080,1332,669,86,749
5,HAUTES-ALPES,61,GAP,18741,15350,15074,323,207,332,213,860,4329,4112,1810,287,2601
6,ALPES-MARITIMES,4,ANTIBES,40523,32217,31801,411,465,562,210,1255,7054,11094,3608,436,6706
6,ALPES-MARITIMES,12,BEAUSOLEIL,9696,7292,7183,135,66,89,50,236,1253,2503,1348,72,1431
6,ALPES-MARITIMES,27,CAGNES-SUR-MER,22725,17843,17549,231,262,320,126,718,3736,5936,2307,225,3688
6,ALPES-MARITIMES,29,CANNES,50128,41313,40817,533,530,683,209,1375,8681,14644,4750,498,8914
6,ALPES-MARITIMES,30,LE CANNET,23768,19125,18900,285,267,370,114,702,4274,6325,2365,222,3976
6,ALPES-MARITIMES,69,GRASSE,22700,17646,17358,251,218,297,116,683,3307,5700,3227,243,3316
6,ALPES-MARITIMES,79,MANDELIEU-LA-NAPOULE,8158,6890,6806,101,93,127,28,221,1424,2379,869,83,1481
6,ALPES-MARITIMES,83,MENTON,19298,15811,15585,256,165,224,61,576,3195,5369,2295,212,3232
6,ALPES-MARITIMES,85,MOUGINS,5922,4809,4730,71,72,86,32,197,855,1540,599,74,1204
6,ALPES-MARITIMES,88,NICE,225511,176054,173782,2251,2337,2791,1209,6223,38728,55483,28888,2121,33751
6,ALPES-MARITIMES,104,ROQUEBRUNE-CAP-MARTIN,8109,6419,6333,100,81,112,40,240,1216,2295,732,86,1431
6,ALPES-MARITIMES,123,SAINT-LAURENT-DU-VAR,12371,9881,9727,147,134,177,77,381,2384,2837,1508,124,1958
6,ALPES-MARITIMES,155,VALLAURIS,12037,9717,9550,135,117,155,81,390,1928,2702,2176,96,1770
6,ALPES-MARITIMES,157,VENCE,8271,6570,6491,84,77,129,64,311,1321,2247,703,89,1466
7,ARDECHE,10,ANNONAY,12458,9936,9766,165,109,166,143,414,2718,2744,1634,151,1522
7,ARDECHE,19,AUBENAS,7428,6006,5914,99,57,91,61,235,1508,1740,783,86,1254
7,ARDECHE,102,GUILHERAND-GRANGES,6185,4998,4925,103,62,127,68,229,1628,1286,527,126,769
7,ARDECHE,186,PRIVAS,5942,4671,4605,93,66,101,86,214,1274,1385,523,112,751
7,ARDECHE,324,TOURNON-SUR-RHONE,5879,4703,4655,89,56,84,86,220,1240,1536,618,96,630
8,ARDENNES,105,CHARLEVILLE-MEZIERES,32709,26615,26300,598,302,473,311,1053,7411,6585,5059,545,3963
8,ARDENNES,363,REVIN,5663,4696,4648,129,43,62,62,141,1599,1000,1085,72,455
8,ARDENNES,409,SEDAN,13066,10561,10460,212,94,169,116,342,3039,2509,2066,204,1709
9,ARIEGE,122,FOIX,5941,5031,4961,108,62,123,52,219,1852,1085,655,76,729
9,ARIEGE,225,PAMIERS,9264,7371,7246,147,80,207,64,249,1781,1579,1847,79,1213
10,AUBE,81,LA CHAPELLE-SAINT-LUC,7747,5927,5853,127,79,129,42,205,1776,1465,1219,117,694
10,AUBE,323,ROMILLY-SUR-SEINE,11187,9020,8870,189,106,153,56,329,1767,2058,2921,157,1134
10,AUBE,333,SAINT-ANDRE-LES-VERGERS,7101,5770,5685,104,112,165,48,262,1543,1598,802,106,945
10,AUBE,362,SAINTE-SAVINE,7282,5750,5659,108,78,130,49,213,1525,1657,924,122,853
10,AUBE,387,TROYES,37579,28973,28605,583,384,573,215,1036,6929,8457,5079,588,4761
11,AUDE,69,CARCASSONNE,27742,22062,21714,418,243,449,234,751,6384,4793,4228,287,3927
11,AUDE,76,CASTELNAUDARY,7416,6297,6180,149,80,140,39,175,1860,1224,809,79,1625
11,AUDE,206,LIMOUX,6503,5487,5401,130,48,100,41,177,1766,1025,1038,70,1006
11,AUDE,262,NARBONNE,26819,22253,21828,409,195,369,178,759,6132,5008,4821,299,3658
12,AVEYRON,145,MILLAU,15505,12710,12411,462,190,221,203,631,3564,3061,1834,210,2035
12,AVEYRON,176,ONET-LE-CHATEAU,4721,4107,4022,111,66,80,47,240,1293,963,413,40,769
12,AVEYRON,202,RODEZ,14019,11603,11391,251,177,257,150,609,3029,3273,820,245,2580
12,AVEYRON,300,VILLEFRANCHE-DE-ROUERGUE,8038,6482,6332,151,84,198,92,262,2002,1615,516,82,1330
13,BOUCHES-DU-RHONE,1,AIX-EN-PROVENCE,69668,54885,54049,949,1134,1212,819,2713,13749,16451,6495,866,9661
13,BOUCHES-DU-RHONE,2,ALLAUCH,9614,8040,7939,138,82,142,61,320,2089,1884,1869,116,1238
13,BOUCHES-DU-RHONE,4,ARLES,32810,27410,26939,434,287,396,203,983,5958,6328,8124,319,3907
13,BOUCHES-DU-RHONE,5,AUBAGNE,24327,19806,19441,294,193,295,165,729,3275,5265,6362,218,2645
13,BOUCHES-DU-RHONE,14,BERRE-L'ETANG,6629,5401,5306,86,57,71,35,165,1105,875,2448,33,431
13,BOUCHES-DU-RHONE,26,CHATEAUNEUF-LES-MARTIGUES,6427,5374,5262,119,49,118,44,182,1702,1174,1293,60,521
13,BOUCHES-DU-RHONE,27,CHATEAURENARD,7561,5933,5790,92,83,119,37,207,1238,1616,1267,70,1061
13,BOUCHES-DU-RHONE,28,LA CIOTAT,21701,17817,17546,261,183,251,112,632,3615,5078,5148,191,2075
13,BOUCHES-DU-RHONE,39,FOS-SUR-MER,5044,4232,4184,93,47,84,28,181,1049,994,1111,37,560
13,BOUCHES-DU-RHONE,41,GARDANNE,9679,8100,7955,147,75,92,51,214,1658,1915,2943,75,785
13,BOUCHES-DU-RHONE,47,ISTRES,14791,12239,12055,249,171,238,109,582,3401,3061,2630,135,1479
13,BOUCHES-DU-RHONE,54,MARIGNANE,16996,13204,13012,213,145,190,67,498,3228,3716,2928,144,1883
13,BOUCHES-DU-RHONE,55,MARSEILLE,511780,380175,375788,5782,4451,5454,2677,12185,91813,96696,96992,4663,55075
13,BOUCHES-DU-RHONE,56,MARTIGUES,24197,19842,19549,388,242,330,219,807,4531,4176,6515,216,2125
