Code département,département,Numéro commune,commune,Inscrits,Votants,Exprimés,LAGUILLER (LO),BOUSSEL (MPT),JUQUIN,LAJOINIE (PCF),MITTERRAND (PS),WAECHTER (V),BARRE (UDF),CHIRAC (RPR),LE PEN (FN)
01,AIN,4,AMBERIEU-EN-BUGEY,6295,4910,4815,59,15,112,450,1610,203,926,686,754
01,AIN,33,BELLEGARDE-SUR-VALSERINE,5977,4583,4522,60,17,116,397,1493,176,815,661,787
01,AIN,53,BOURG-EN-BRESSE,22016,17828,17534,226,77,521,787,5959,711,3402,3419,2432
01,AIN,283,OYONNAX,10806,8501,8343,107,33,170,645,2338,297,1494,1499,1760
02,AISNE,168,CHATEAU-THIERRY,8778,6615,6496,142,27,131,573,2265,250,1127,1128,853
02,AISNE,173,CHAUNY,8464,6697,6545,127,26,97,528,2596,184,911,1074,1002
02,AISNE,381,HIRSON,7484,5963,5748,155,38,74,806,2170,178,733,902,692
02,AISNE,408,LAON,16391,12901,12674,286,56,197,786,4996,544,1897,2555,1357
02,AISNE,691,SAINT-QUENTIN,37387,31016,30397,623,148,404,3190,11802,926,4256,4800,4248
02,AISNE,722,SOISSONS,17096,13256,13046,239,47,227,1121,4789,406,2136,2335,1746
02,AISNE,738,TERGNIER,8549,7035,6877,144,39,102,715,3187,220,791,820,859
03,ALLIER,82,COMMENTRY,6135,4917,4762,86,15,96,1073,1770,109,658,638,317
03,ALLIER,95,CUSSET,10000,8174,7937,116,27,143,1070,2685,216,1321,1323,1036
03,ALLIER,185,MONTLUCON,31623,25705,25083,351,110,767,4961,7621,769,3601,4437,2466
03,ALLIER,190,MOULINS,14516,11658,11418,124,72,227,1346,3450,321,1956,2639,1283
03,ALLIER,310,VICHY,19866,15487,15197,194,51,213,886,3857,435,3147,3899,2515
03,ALLIER,321,YZEURE,9458,7804,7619,99,50,144,1154,2578,265,1291,1405,633
04,ALPES-DE-HAUTE-PROVENCE,70,DIGNE-LES-BAINS,10413,8368,8206,148,39,234,536,2548,428,1388,1624,1261
04,ALPES-DE-HAUTE-PROVENCE,112,MANOSQUE,13201,10691,10483,162,32,290,682,3163,397,1729,1872,2156
05,HAUTES-ALPES,23,BRIANCON,6649,5180,5090,95,18,196,275,1312,356,1022,991,825
05,HAUTES-ALPES,61,GAP,21201,17344,16983,282,70,438,860,5106,879,3854,3221,2273
06,ALPES-MARITIMES,4,ANTIBES,44583,36219,35802,393,58,399,1354,8108,1054,5889,9192,9355
06,ALPES-MARITIMES,12,BEAUSOLEIL,9341,7285,7162,102,15,109,538,1850,180,1140,1674,1554
06,ALPES-MARITIMES,27,CAGNES-SUR-MER,25688,20694,20411,200,38,242,950,4571,638,3247,5086,5439
06,ALPES-MARITIMES,29,CANNES,48488,40237,39796,389,84,414,1569,9241,892,6048,11219,9940
06,ALPES-MARITIMES,30,LE CANNET,26410,20953,20715,207,43,232,809,4931,662,3292,5428,5111
06,ALPES-MARITIMES,69,GRASSE,23577,19360,19079,253,47,317,1319,4861,674,3295,4472,3841
06,ALPES-MARITIMES,79,MANDELIEU-LA-NAPOULE,10636,8988,8898,95,28,96,332,1957,226,1574,2263,2327
06,ALPES-MARITIMES,83,MENTON,19534,16395,16151,200,36,203,916,3966,452,2957,3580,3841
06,ALPES-MARITIMES,85,MOUGINS,7946,6722,6636,78,11,70,230,1338,189,1131,2077,1512
06,ALPES-MARITIMES,88,NICE,232819,180591,178423,2056,414,2715,11013,44890,4948,24311,41820,46256
06,ALPES-MARITIMES,104,ROQUEBRUNE-CAP-MARTIN,8777,6802,6729,69,16,73,290,1520,217,1340,1725,1479
06,ALPES-MARITIMES,123,SAINT-LAURENT-DU-VAR,15160,12480,12299,103,34,144,612,3198,331,1766,2882,3229
06,ALPES-MARITIMES,155,VALLAURIS,14204,11514,11362,149,28,190,876,2831,346,1447,2514,2981
06,ALPES-MARITIMES,157,VENCE,9815,7792,7685,67,15,109,351,1730,288,1438,2140,1547
07,ARDECHE,10,ANNONAY,12327,9714,9510,196,50,224,847,3167,394,1748,1733,1151
07,ARDECHE,19,AUBENAS,7378,6022,5931,75,15,155,355,1629,221,1024,1464,993
07,ARDECHE,102,GUILHERAND-GRANGES,6979,5773,5683,96,17,201,229,1863,247,1114,1075,841
07,ARDECHE,186,PRIVAS,5903,4748,4672,64,15,138,286,1364,223,1062,951,569
07,ARDECHE,324,TOURNON-SUR-RHONE,6260,5076,4986,82,30,153,282,1549,245,1078,939,628
08,ARDENNES,105,CHARLEVILLE-MEZIERES,31726,24740,24376,479,114,427,1863,9222,948,3822,3784,3717
08,ARDENNES,363,REVIN,5455,4380,4320,113,17,60,378,1979,115,452,510,696
08,ARDENNES,409,SEDAN,12265,9520,9404,211,33,184,713,3784,295,1292,1542,1350
09,ARIEGE,122,FOIX,6154,5120,5016,103,20,186,302,2183,214,655,906,447
09,ARIEGE,225,PAMIERS,9231,7548,7406,115,31,189,1039,2427,233,958,1445,969
10,AUBE,81,LA CHAPELLE-SAINT-LUC,7509,5620,5538,114,23,92,491,2275,136,762,726,919
10,AUBE,323,ROMILLY-SUR-SEINE,10641,8182,7987,169,27,163,1633,2461,276,1071,1096,1091
10,AUBE,333,SAINT-ANDRE-LES-VERGERS,7708,6149,6059,119,20,86,263,2198,261,1225,1056,831
10,AUBE,362,SAINTE-SAVINE,7082,5582,5479,109,25,97,298,2043,203,992,921,791
10,AUBE,387,TROYES,34778,26035,25625,459,88,372,1733,8914,781,4566,5161,3551
11,AUDE,69,CARCASSONNE,27584,23098,22720,390,74,601,1871,8218,698,2642,4799,3427
11,AUDE,76,CASTELNAUDARY,7639,6483,6364,110,26,103,358,2446,180,752,1692,697
11,AUDE,206,LIMOUX,6650,5587,5477,112,9,138,560,2145,174,646,961,732
11,AUDE,262,NARBONNE,29153,24005,23370,374,58,584,2296,7835,620,2811,4010,4782
12,AVEYRON,145,MILLAU,15800,13263,12954,338,79,399,757,4481,567,1927,2620,1786
12,AVEYRON,176,ONET-LE-CHATEAU,5658,4969,4851,109,26,99,211,1871,250,958,865,462
12,AVEYRON,202,RODEZ,14528,12065,11856,201,37,277,340,3935,528,2662,2801,1075
12,AVEYRON,300,VILLEFRANCHE-DE-ROUERGUE,8597,7025,6865,131,19,207,226,2601,295,1192,1405,789
13,BOUCHES-DU-RHONE,1,AIX-EN-PROVENCE,72091,58591,57770,696,136,1580,2379,15457,2403,10455,11236,13428
13,BOUCHES-DU-RHONE,2,ALLAUCH,11636,9735,9565,131,26,229,960,2737,307,1355,1333,2487
13,BOUCHES-DU-RHONE,4,ARLES,32334,26866,26412,338,84,647,4134,7682,757,3301,3971,5498
