Code département,département,numéro commune,commune,Inscrits,Votants,Exprimés,MITTERRAND (PS),CHIRAC (RPR)
01,AIN,4,AMBERIEU-EN-BUGEY,6295,5058,4875,2762,2113
01,AIN,33,BELLEGARDE-SUR-VALSERINE,5977,4735,4591,2597,1994
01,AIN,53,BOURG-EN-BRESSE,22009,18611,18006,9464,8542
01,AIN,283,OYONNAX,10796,8764,8413,4145,4268
02,AISNE,168,CHATEAU-THIERRY,8748,6856,6596,3768,2828
02,AISNE,173,CHAUNY,8464,6804,6530,4023,2507
02,AISNE,381,HIRSON,7484,6159,5874,3756,2118
02,AISNE,408,LAON,16391,13476,13058,7598,5460
02,AISNE,691,SAINT-QUENTIN,37387,32037,30805,19232,11573
02,AISNE,722,SOISSONS,17096,13721,13291,7789,5502
02,AISNE,738,TERGNIER,8549,7196,6894,4896,1998
03,ALLIER,82,COMMENTRY,6134,4892,4682,3233,1449
03,ALLIER,95,CUSSET,10000,8424,8067,4646,3421
03,ALLIER,185,MONTLUCON,31623,26106,24959,15365,9594
03,ALLIER,190,MOULINS,14516,12010,11569,6072,5497
03,ALLIER,310,VICHY,19866,16125,15563,6390,9173
03,ALLIER,321,YZEURE,9458,8004,7606,4521,3085
04,ALPES-DE-HAUTE-PROVENCE,70,DIGNE-LES-BAINS,10405,8709,8374,4296,4078
04,ALPES-DE-HAUTE-PROVENCE,112,MANOSQUE,13192,11119,10657,5296,5361
05,HAUTES-ALPES,23,BRIANCON,6649,5490,5261,2593,2668
05,HAUTES-ALPES,61,GAP,21201,18134,17447,8621,8826
06,ALPES-MARITIMES,4,ANTIBES,44493,37163,36043,12919,23124
06,ALPES-MARITIMES,12,BEAUSOLEIL,9341,7578,7371,3183,4188
06,ALPES-MARITIMES,27,CAGNES-SUR-MER,25688,21196,20510,7536,12974
06,ALPES-MARITIMES,29,CANNES,48488,41267,40104,14796,25308
06,ALPES-MARITIMES,30,LE CANNET,26410,21516,20891,7864,13027
06,ALPES-MARITIMES,69,GRASSE,23556,19916,19248,8153,11095
06,ALPES-MARITIMES,79,MANDELIEU-LA-NAPOULE,10637,9210,8959,3138,5821
06,ALPES-MARITIMES,83,MENTON,19534,16861,16263,6826,9437
06,ALPES-MARITIMES,85,MOUGINS,7941,6949,6741,2163,4578
06,ALPES-MARITIMES,88,NICE,232818,185888,180010,75463,104547
06,ALPES-MARITIMES,104,ROQUEBRUNE-CAP-MARTIN,8777,7137,6955,2527,4428
06,ALPES-MARITIMES,123,SAINT-LAURENT-DU-VAR,15163,12802,12363,5075,7288
06,ALPES-MARITIMES,155,VALLAURIS,14204,11862,11469,4992,6477
06,ALPES-MARITIMES,157,VENCE,9815,8041,7802,2876,4926
07,ARDECHE,10,ANNONAY,12327,10043,9695,5454,4241
07,ARDECHE,19,AUBENAS,7375,6271,6065,2727,3338
07,ARDECHE,102,GUILHERAND-GRANGES,6975,5962,5752,2946,2806
07,ARDECHE,186,PRIVAS,5903,4958,4759,2368,2391
07,ARDECHE,324,TOURNON-SUR-RHONE,6260,5220,5074,2598,2476
08,ARDENNES,105,CHARLEVILLE-MEZIERES,31700,25834,24950,15087,9863
08,ARDENNES,363,REVIN,5454,4504,4357,3031,1326
08,ARDENNES,409,SEDAN,12265,9875,9578,5860,3718
09,ARIEGE,122,FOIX,6151,5409,5220,3273,1947
09,ARIEGE,225,PAMIERS,9225,7998,7749,4495,3254
10,AUBE,81,LA CHAPELLE-SAINT-LUC,7509,5694,5477,3510,1967
10,AUBE,323,ROMILLY-SUR-SEINE,10641,8398,7954,5113,2841
10,AUBE,333,SAINT-ANDRE-LES-VERGERS,7708,6423,6181,3332,2849
10,AUBE,362,SAINTE-SAVINE,7082,5737,5511,3120,2391
10,AUBE,387,TROYES,34778,27007,26062,13929,12133
11,AUDE,69,CARCASSONNE,27590,23915,23104,12847,10257
11,AUDE,76,CASTELNAUDARY,7639,6714,6486,3493,2993
11,AUDE,206,LIMOUX,6650,5811,5575,3368,2207
11,AUDE,262,NARBONNE,29145,24601,23525,13037,10488
12,AVEYRON,145,MILLAU,15785,13867,13369,7517,5852
12,AVEYRON,176,ONET-LE-CHATEAU,5658,5139,4938,2875,2063
12,AVEYRON,202,RODEZ,14528,12599,12199,5960,6239
12,AVEYRON,300,VILLEFRANCHE-DE-ROUERGUE,8600,7337,7077,3965,3112
13,BOUCHES-DU-RHONE,1,AIX-EN-PROVENCE,72091,61161,59115,25821,33294
13,BOUCHES-DU-RHONE,2,ALLAUCH,11637,9971,9399,4796,4603
13,BOUCHES-DU-RHONE,4,ARLES,32334,27608,26323,14714,11609
13,BOUCHES-DU-RHONE,5,AUBAGNE,25911,21441,20359,10440,9919
13,BOUCHES-DU-RHONE,14,BERRE-L'ETANG,6451,5383,5114,3333,1781
13,BOUCHES-DU-RHONE,26,CHATEAUNEUF-LES-MARTIGUES,7506,6472,6159,3659,2500
13,BOUCHES-DU-RHONE,27,CHATEAURENARD,7736,6394,6079,2843,3236
13,BOUCHES-DU-RHONE,28,LA CIOTAT,21924,18593,17666,8969,8697
13,BOUCHES-DU-RHONE,39,FOS-SUR-MER,7068,5992,5678,3374,2304
13,BOUCHES-DU-RHONE,41,GARDANNE,11214,9087,8639,4962,3677
13,BOUCHES-DU-RHONE,47,ISTRES,19878,16827,16015,9168,6847
13,BOUCHES-DU-RHONE,54,MARIGNANE,20235,16109,15318,7203,8115
13,BOUCHES-DU-RHONE,55,MARSEILLE,482154,377247,362475,180797,181678
13,BOUCHES-DU-RHONE,56,MARTIGUES,26137,21937,20819,12391,8428
13,BOUCHES-DU-RHONE,63,MIRAMAS,13660,11154,10600,6202,4398
13,BOUCHES-DU-RHONE,71,LES PENNES-MIRABEAU,13119,10624,10073,5587,4486
13,BOUCHES-DU-RHONE,77,PORT-DE-BOUC,11093,8602,8129,5744,2385
13,BOUCHES-DU-RHONE,78,PORT-SAINT-LOUIS-DU-RHONE,6080,4827,4493,3036,1457
13,BOUCHES-DU-RHONE,81,ROGNAC,6592,5473,5190,2780,2410
13,BOUCHES-DU-RHONE,97,SAINT-MARTIN-DE-CRAU,6689,5898,5644,3217,2427
13,BOUCHES-DU-RHONE,103,SALON-DE-PROVENCE,22735,19178,18278,7912,10366
13,BOUCHES-DU-RHONE,106,SEPTEMES-LES-VALLONS,6854,5756,5448,3306,2142
13,BOUCHES-DU-RHONE,108,TARASCON,7841,6619,6301,3182,3119
13,BOUCHES-DU-RHONE,117,VITROLLES,15741,13073,12426,6515,5911
14,CALVADOS,47,BAYEUX,9529,7654,7441,4061,3380
14,CALVADOS,118,CAEN,66213,53035,51523,28587,22936
14,CALVADOS,327,HEROUVILLE-SAINT-CLAIR,12915,10060,9728,7096,2632
14,CALVADOS,366,LISIEUX,15000,12373,11966,6534,5432
14,CALVADOS,437,MONDEVILLE,6532,5415,5276,3959,1317
14,CALVADOS,762,VIRE,9072,7680,7394,4241,3153
15,CANTAL,14,AURILLAC,18996,16580,16109,8856,7253
16,CHARENTE,15,ANGOULEME,28079,22626,21892,12259,9633
16,CHARENTE,102,COGNAC,12998,10532,10206,5457,4749
16,CHARENTE,374,SOYAUX,6355,5288,5109,3222,1887
17,CHARENTE-MARITIME,299,ROCHEFORT,16578,12798,12356,6502,5854
